vals,stats,mu,model,order,r,s,demo
1013,0.00096668,Hl_0_0,1e-08,11,10,1e-04,-0.1,constant
1014,0.00099999,Hr_0_0,1e-08,11,10,1e-04,-0.1,constant
1015,9.72366e-07,pi2_0_0_0_0,1e-08,11,10,1e-04,-0.1,constant
1016,4.26687e-08,DD_0_0,1e-08,11,20,1e-04,-0.1,constant
1017,1.14889e-08,Dr_0_0_l_0,1e-08,11,20,1e-04,-0.1,constant
1018,0.00096668,Hl_0_0,1e-08,11,20,1e-04,-0.1,constant
1019,0.00099999,Hr_0_0,1e-08,11,20,1e-04,-0.1,constant
1020,9.72366e-07,pi2_0_0_0_0,1e-08,11,20,1e-04,-0.1,constant
1021,4.26683e-08,DD_0_0,1e-08,11,100,1e-04,-0.1,constant
1022,1.1489e-08,Dr_0_0_l_0,1e-08,11,100,1e-04,-0.1,constant
1023,0.00096668,Hl_0_0,1e-08,11,100,1e-04,-0.1,constant
1024,0.00099999,Hr_0_0,1e-08,11,100,1e-04,-0.1,constant
1025,9.72366e-07,pi2_0_0_0_0,1e-08,11,100,1e-04,-0.1,constant
1026,4.76178e-09,DD_0_0,1e-08,12,2,0.001,-0.1,constant
1027,1.83941e-10,Dr_0_0_l_0,1e-08,12,2,0.001,-0.1,constant
1028,0.00096666,Hl_0_0,1e-08,12,2,0.001,-0.1,constant
1029,0.00099999,Hr_0_0,1e-08,12,2,0.001,-0.1,constant
1030,9.66732e-07,pi2_0_0_0_0,1e-08,12,2,0.001,-0.1,constant
1031,4.76188e-09,DD_0_0,1e-08,12,5,0.001,-0.1,constant
1032,1.83944e-10,Dr_0_0_l_0,1e-08,12,5,0.001,-0.1,constant
1033,0.00096668,Hl_0_0,1e-08,12,5,0.001,-0.1,constant
1034,0.00099999,Hr_0_0,1e-08,12,5,0.001,-0.1,constant
1035,9.66752e-07,pi2_0_0_0_0,1e-08,12,5,0.001,-0.1,constant
1036,4.76188e-09,DD_0_0,1e-08,12,10,0.001,-0.1,constant
1037,1.83944e-10,Dr_0_0_l_0,1e-08,12,10,0.001,-0.1,constant
1038,0.00096668,Hl_0_0,1e-08,12,10,0.001,-0.1,constant
1039,0.00099999,Hr_0_0,1e-08,12,10,0.001,-0.1,constant
